Date,Open,High,Low,Close,Adj Close,Volume
2023-01-30,1320.099976,1342.000000,1305.000000,1331.599976,1317.790283,2402331
2023-01-31,1350.300049,1385.500000,1335.300049,1378.750000,1364.451294,5265862
2023-02-01,1386.550049,1390.000000,1322.000000,1352.050049,1338.028198,3010838
2023-02-02,1348.050049,1378.199951,1330.500000,1352.400024,1338.374512,2029111
2023-02-03,1359.199951,1391.949951,1350.550049,1388.000000,1373.605347,1803085
2023-02-06,1391.900024,1391.900024,1360.000000,1376.000000,1361.729736,1504382
2023-02-07,1382.900024,1385.000000,1361.000000,1366.699951,1352.526245,1413825
2023-02-08,1373.550049,1380.000000,1360.000000,1373.050049,1358.810425,1241238
2023-02-09,1372.000000,1386.000000,1363.000000,1372.199951,1357.969116,1866387
2023-02-10,1378.550049,1386.949951,1350.800049,1365.449951,1351.289185,3282665
2023-02-13,1375.000000,1384.000000,1325.050049,1353.000000,1338.968262,4401219
2023-02-14,1358.000000,1377.000000,1350.000000,1363.150024,1349.013062,2373179
2023-02-15,1364.199951,1383.150024,1360.050049,1379.349976,1365.045044,2007214
2023-02-16,1380.099976,1397.000000,1363.199951,1368.150024,1353.961182,2646301
2023-02-17,1359.949951,1372.550049,1332.300049,1341.500000,1327.587524,2150027
2023-02-20,1342.099976,1354.949951,1332.599976,1346.250000,1332.288330,1497314
2023-02-21,1354.500000,1362.400024,1341.000000,1351.849976,1337.830200,2118816
2023-02-22,1346.900024,1352.849976,1311.150024,1319.750000,1306.063110,2196484
2023-02-23,1325.250000,1326.250000,1305.000000,1313.949951,1300.323242,1847879
2023-02-24,1320.199951,1320.550049,1278.199951,1280.199951,1266.923218,2824384
2023-02-27,1270.050049,1285.400024,1248.400024,1257.400024,1244.359741,2019964
2023-02-28,1263.699951,1293.250000,1260.000000,1269.599976,1256.433228,3407211
2023-03-01,1275.949951,1305.550049,1269.050049,1272.150024,1258.956787,2338935
2023-03-02,1278.550049,1278.550049,1250.000000,1251.550049,1238.570435,1563750
2023-03-03,1257.900024,1276.949951,1253.250000,1268.599976,1255.443604,1493291
2023-03-06,1269.550049,1284.250000,1268.000000,1270.449951,1257.274414,1570410
2023-03-08,1270.000000,1291.949951,1258.300049,1289.949951,1276.572144,2370800
2023-03-09,1291.000000,1294.800049,1244.949951,1248.150024,1235.205688,3596577
2023-03-10,1249.000000,1256.699951,1225.349976,1226.699951,1213.978149,2664696
2023-03-13,1222.699951,1231.000000,1182.449951,1193.449951,1181.072876,3842775
2023-03-14,1192.300049,1192.400024,1156.849976,1160.800049,1148.761597,5379592
2023-03-15,1167.000000,1174.400024,1153.199951,1160.349976,1148.316284,2226887
2023-03-16,1160.000000,1175.250000,1140.150024,1167.050049,1154.946777,3604480
2023-03-17,1172.900024,1186.250000,1152.000000,1171.500000,1159.350586,3683701
2023-03-20,1169.949951,1179.150024,1145.000000,1167.650024,1155.540527,2082268
2023-03-21,1170.599976,1175.000000,1156.400024,1160.300049,1148.266846,2209422
2023-03-22,1167.500000,1180.500000,1159.150024,1164.099976,1152.027344,2211909
2023-03-23,1161.000000,1175.000000,1153.800049,1164.949951,1152.868530,2594282
2023-03-24,1160.550049,1170.550049,1147.099976,1150.800049,1138.865356,1839876
2023-03-27,1141.500000,1150.599976,1125.500000,1137.900024,1126.099121,2446528
2023-03-28,1143.599976,1149.000000,1123.400024,1128.300049,1116.598633,1903339
2023-03-29,1133.949951,1152.449951,1132.000000,1144.300049,1132.432739,4003003
2023-03-31,1147.599976,1163.000000,1145.849976,1158.699951,1146.683350,2343070
2023-04-03,1161.300049,1180.000000,1155.300049,1169.900024,1157.767212,2546562
2023-04-05,1172.000000,1173.300049,1151.949951,1155.449951,1143.467041,2028469
2023-04-06,1154.000000,1175.000000,1148.300049,1171.250000,1159.103271,2029418
2023-04-10,1171.250000,1191.000000,1171.250000,1188.599976,1176.273193,2586918
2023-04-11,1200.000000,1204.199951,1188.199951,1201.699951,1189.237427,2443384
2023-04-12,1203.500000,1212.949951,1198.599976,1207.349976,1194.828857,2469405
2023-04-13,1213.449951,1222.199951,1199.550049,1204.550049,1192.057861,4470196
2023-04-17,1218.949951,1218.949951,1203.400024,1212.949951,1200.370728,1956198
2023-04-18,1213.000000,1217.900024,1202.599976,1204.699951,1192.206299,2075066
2023-04-19,1204.650024,1217.949951,1203.400024,1215.500000,1202.894287,1818732
2023-04-20,1218.000000,1224.900024,1214.550049,1218.599976,1205.962158,2172677
2023-04-21,1221.949951,1221.949951,1209.050049,1212.750000,1200.172852,1015815
2023-04-24,1210.400024,1217.099976,1196.000000,1207.750000,1195.224731,1389756
2023-04-25,1207.750000,1215.000000,1199.400024,1209.849976,1197.302856,1360260
2023-04-26,1212.000000,1217.250000,1205.300049,1213.550049,1200.964600,1708865
2023-04-27,1210.050049,1225.000000,1210.050049,1224.000000,1211.306152,1340045
2023-04-28,1225.000000,1228.750000,1211.500000,1226.900024,1214.176147,2333102
2023-05-02,1230.000000,1240.800049,1217.500000,1237.300049,1224.468262,2607580
2023-05-03,1237.300049,1242.000000,1230.099976,1235.449951,1222.637329,1307304
2023-05-04,1235.000000,1238.050049,1228.000000,1231.699951,1218.926270,1541188
2023-05-05,1232.800049,1242.349976,1208.050049,1211.199951,1198.638794,4753718
2023-05-08,1216.949951,1239.849976,1213.699951,1231.800049,1219.025269,3513667
2023-05-09,1239.000000,1250.000000,1234.050049,1245.449951,1232.533691,1846359
2023-05-10,1250.000000,1255.800049,1235.000000,1248.650024,1235.700562,2108081
2023-05-11,1250.000000,1260.849976,1244.150024,1251.300049,1238.323120,4100467
2023-05-12,1256.400024,1278.800049,1251.300049,1275.949951,1262.717285,2427624
2023-05-15,1279.900024,1287.750000,1272.599976,1285.650024,1272.316772,2647630
2023-05-16,1287.000000,1291.699951,1258.849976,1262.449951,1249.357300,1571371
2023-05-17,1265.000000,1271.699951,1260.699951,1263.099976,1250.000610,1643851
2023-05-18,1269.949951,1269.949951,1241.250000,1245.500000,1232.583130,1900447
2023-05-19,1252.900024,1262.449951,1237.449951,1260.400024,1247.328735,1588996
2023-05-22,1259.250000,1269.449951,1251.300049,1265.550049,1252.425293,917769
2023-05-23,1265.550049,1270.750000,1256.550049,1268.550049,1255.394165,1803955
